PredictionString,image_id
0 0.3343812 165.22015 427.05853 200.12738 452.2171 0 0.25394067 243.33006 681.8244 302.61972 750.11774 0 0.15864472 492.9648 596.9468 573.48376 652.4409 0 0.12492138 480.77426 610.09296 507.22366 659.2828 1 0.9936138 561.8367 103.09227 757.7395 356.61188 1 0.397932 637.2814 147.81528 739.4641 341.3105 1 0.35522744 637.7576 252.18274 734.1419 345.00842 1 0.25419217 489.05124 599.42004 577.77124 649.8644 1 0.16635202 642.7718 186.6719 703.67303 270.62576 1 0.118608765 576.3955 175.07248 691.31714 352.54855 1 0.09744581 432.63568 451.74905 570.06384 662.75903 1 0.08136756 70.30807 453.79733 160.75067 622.3936 1 0.07662277 243.33006 681.8244 302.61972 750.11774 1 0.07002497 719.17645 114.18229 763.40826 321.85043 1 0.06701656 165.55426 427.51297 200.63812 451.79886 1 0.06413658 481.82816 610.0588 506.51517 658.6829 5 0.94206506 340.66534 629.2854 399.1482 724.8888 5 0.73197496 243.56937 681.6179 302.53598 749.78516 5 0.49318606 336.68448 634.1869 454.35287 731.09546 5 0.42026746 388.82562 681.92993 428.1491 719.3533 5 0.3401689 498.09628 598.129 575.3561 649.0176 5 0.2381273 379.7983 669.48944 447.75198 723.1425 5 0.20738229 389.61572 625.305 448.38232 727.47943 5 0.19354904 330.5932 638.4257 351.72925 681.4583 5 0.08919516 470.41827 590.7843 581.9289 669.82275 5 0.057249773 411.42722 627.3323 440.33847 694.2312 5 0.052684 328.2044 556.50415 462.94513 738.4099 5 0.05066434 504.637 646.40454 553.0234 676.2605 6 0.16051096 428.67786 450.39307 568.1897 667.146 6 0.094332494 0.7980118 0.0 143.77869 227.43063 7 0.999912 221.03473 53.328888 457.1903 485.24252 7 0.9998425 608.9988 517.0217 950.44226 1017.3872 7 0.9991788 118.377396 411.57416 325.8202 726.54974 7 0.9973853 384.96033 180.19983 605.72516 547.9724 7 0.99541533 450.39447 598.679 652.21234 873.45734 7 0.986115 546.4654 341.57178 716.8228 602.43304 7 0.94442385 254.72902 430.83365 428.7303 583.3547 7 0.9004555 645.6935 331.26306 873.82556 600.8651 7 0.5447904 330.55475 544.66626 457.781 735.63586 7 0.44477752 322.28275 550.3249 447.31796 648.15375 7 0.21497157 72.52284 458.79584 147.56506 616.7924 7 0.105636 612.06647 607.80035 651.9776 748.1015 7 0.10367743 407.54523 166.33511 647.8405 873.8104 7 0.089898005 244.45352 386.1687 326.03256 667.5355 7 0.08594416 342.2022 610.06305 444.70905 726.3088 7 0.08172941 261.3241 419.324 346.19238 622.27106 7 0.068399906 223.45535 360.7014 380.79697 639.4625 7 0.06567323 447.48468 680.69946 479.9497 838.80444 7 0.05943179 487.7976 597.5974 605.45935 651.76184 7 0.057737418 325.54965 569.3937 383.29196 621.4081 ,test/0000.jpg
0 0.74294627 640.3647 652.19037 682.4356 833.2779 0 0.09451862 650.7783 663.5483 673.04724 811.8837 0 0.063346595 761.23566 656.29193 894.86456 992.4797 0 0.050962668 137.3696 0.0 494.384 281.24335 1 0.1718549 762.75305 654.74304 894.14026 989.44006 3 0.33154157 348.16705 247.24132 758.0877 700.64594 4 0.22126853 349.01517 249.18733 756.1411 698.9302 5 0.99250185 137.51358 0.0 493.85635 281.09863 5 0.9188772 349.1751 244.39813 756.4296 704.53516 6 0.77458525 762.7255 655.30554 895.439 989.3292 ,test/0001.jpg
0 0.42538977 290.52686 336.84756 1005.9973 379.76315 0 0.25897175 297.68488 312.99258 1001.1131 399.93228 0 0.193755 309.81958 330.9281 1009.7687 450.71973 0 0.17298315 513.14246 519.9866 771.4016 657.33887 0 0.15637459 876.21423 470.96426 1022.69226 633.04065 0 0.15612304 700.06775 346.08832 1003.70605 369.096 0 0.09454387 769.681 226.57004 869.7062 237.75183 0 0.09376071 993.784 515.4239 1022.7232 544.9057 0 0.081998445 48.601624 290.3224 431.2539 395.3615 0 0.06521841 674.72766 227.72847 767.1001 327.7881 0 0.061192825 78.10518 330.25082 324.20337 475.21774 0 0.050935395 785.4301 427.34482 1023.5378 1024.0 1 0.98645824 80.39458 270.4068 410.8684 607.60156 1 0.9778349 787.1567 431.29834 1023.4805 1021.32227 1 0.97655904 287.80173 306.19046 983.7875 751.6775 1 0.9708057 663.4275 225.54543 1021.4518 335.48642 1 0.962722 420.9337 265.8789 640.7074 329.80182 1 0.7866576 673.4591 228.38353 783.2854 327.22977 1 0.71346533 919.09985 226.61017 1021.24854 376.7614 1 0.41694495 2.1996155 241.87933 143.67522 378.841 1 0.23160411 993.8363 515.15704 1022.3065 546.0372 1 0.21946491 998.50055 302.599 1023.8903 389.12158 1 0.20546287 69.923386 273.0318 416.2965 443.03186 1 0.1810735 301.0741 265.4953 1014.35974 482.40088 1 0.16209583 863.7441 227.99152 976.1899 339.07068 1 0.12744023 330.08203 472.6703 820.8883 741.1587 1 0.12647267 811.9777 226.62997 1019.2442 370.1077 1 0.09307321 971.431 235.11674 1024.0 252.47298 1 0.09265592 326.20807 273.96588 1022.3306 383.41467 1 0.07710673 1007.2418 320.43774 1022.48975 397.99982 1 0.07049393 880.34937 243.18814 912.4221 269.24814 1 0.06475829 876.0618 230.48907 966.69745 271.195 1 0.062724456 962.3413 232.89491 1024.0 274.66284 1 0.061663717 958.3044 276.45718 1021.566 370.75797 1 0.053743493 757.86865 225.25824 917.3231 264.96445 2 0.17953342 673.4507 228.18263 780.7113 327.45584 3 0.17427272 675.76434 228.56926 762.2149 327.85562 3 0.14226754 880.34937 243.18814 912.4221 269.24814 3 0.058700424 2.855545 240.08195 142.53523 446.9029 4 0.8815488 868.161 242.74178 914.7926 323.65244 5 0.34311074 876.21423 470.96426 1022.69226 633.04065 5 0.32558766 1000.59125 303.21115 1024.0 389.1523 5 0.13238363 880.34937 243.18814 912.4221 269.24814 5 0.0867415 868.28815 243.03275 914.6479 323.6544 5 0.06180089 5.386673 242.04228 143.35645 420.63403 6 0.06995585 300.81738 327.90527 1017.41504 490.9771 7 0.06104727 769.681 226.57004 869.7062 237.75183 ,test/0002.jpg
0 0.2567612 7.8385963 430.46207 122.63869 861.57983 0 0.08842957 160.4125 254.34421 902.2295 819.0089 9 0.99786466 161.30939 256.4783 895.50446 822.8882 9 0.41653547 18.83783 0.0 1005.42755 331.89795 9 0.26726353 7.8385963 430.46207 122.63869 861.57983 9 0.06590447 42.850586 661.3433 1017.6511 1009.04803 ,test/0003.jpg
0 0.71061414 431.14044 413.4671 658.76544 568.68036 0 0.31468698 259.26273 356.51846 866.4336 780.7654 0 0.20191085 392.82886 341.20343 719.96985 571.59015 0 0.09999689 409.61682 372.61346 879.897 636.3825 0 0.098912664 178.76976 266.7411 661.3411 663.0829 1 0.91549104 217.1083 286.7799 872.08105 789.6255 1 0.08281822 402.4029 364.17236 877.96344 661.5597 1 0.08198313 178.76976 266.7411 661.3411 663.0829 1 0.050941065 392.82886 341.20343 719.96985 571.59015 ,test/0004.jpg
0 0.07954438 354.15 224.32893 775.9453 721.0843 1 0.08770348 357.64993 229.20105 771.21094 714.4776 2 0.9884488 355.74005 226.79945 777.72723 716.8721 ,test/0005.jpg
0 0.9854586 600.12024 0.0 702.8965 85.696396 0 0.9806317 0.0 808.593 86.66388 945.0947 0 0.9256551 897.51434 785.91833 1022.10016 916.8303 0 0.33660668 299.6376 629.8028 376.31223 750.0441 0 0.2521441 195.23434 639.42053 301.1414 875.13403 0 0.21968676 713.44293 897.8445 812.71063 940.35376 0 0.1303841 6.7100983 232.08362 280.17822 870.92285 0 0.12849234 628.40625 69.04671 691.67053 113.32976 0 0.05707238 53.02417 625.9295 301.09372 940.1457 1 0.11388299 299.6376 629.8028 376.31223 750.0441 3 0.48796827 0.5197754 49.554817 70.12081 221.05325 3 0.26250196 195.14412 638.3872 301.19183 874.8716 4 0.8471989 431.92535 0.61587524 704.1064 266.71835 4 0.31902695 328.50037 454.14996 835.63916 723.9307 5 0.9206948 0.5001259 51.427887 70.32352 220.88113 5 0.90176165 331.98685 454.352 837.33105 724.03253 5 0.2936932 195.30746 638.8705 301.01233 875.323 5 0.13260932 432.2362 0.0 704.92615 266.94736 6 0.07165542 599.87964 0.057170868 699.75903 84.986725 7 0.98695755 281.5478 8.398445 411.86316 167.2218 7 0.18880603 897.2634 785.8888 1022.15454 916.4745 7 0.08093964 0.37033463 50.35206 70.42995 221.48083 7 0.08091187 301.52905 0.94548035 716.75055 265.49896 7 0.061990183 624.9074 71.58434 690.8311 113.77413 ,test/0006.jpg
0 0.38979933 63.385803 98.95227 997.1982 1011.6361 0 0.18553784 340.98178 12.790131 814.01953 172.53029 0 0.12558897 215.9581 467.63068 248.42877 671.1784 0 0.114837945 576.04395 488.45093 899.49414 740.51965 0 0.08734526 500.38434 88.66577 973.72675 585.2565 0 0.08295854 290.4575 528.1543 443.27896 681.0984 0 0.06236128 135.32037 175.39182 483.24884 704.97034 0 0.0623607 0.0 493.5488 318.1424 1024.0 0 0.05433065 294.8154 115.204956 921.51355 754.8999 1 0.94871 882.2344 893.3777 1021.4922 1022.48535 1 0.29188296 994.2568 934.99133 1021.9598 1005.5405 1 0.2901847 435.56262 959.88184 512.8254 1023.5521 1 0.2014375 51.466278 101.556915 1000.02454 1024.0 1 0.16866833 435.35135 890.66235 547.55396 1024.0 1 0.09491837 438.777 959.83435 475.13132 1021.2522 1 0.08586516 237.487 502.22046 951.6214 1024.0 1 0.07216793 220.9059 888.8395 555.27094 1024.0 1 0.068141006 976.2355 943.47156 1023.5044 1023.5652 7 0.8824904 0.0 863.4916 22.588743 1023.44104 9 0.9408072 158.23004 103.61011 955.62396 756.218 9 0.5993446 555.02234 489.1678 903.21045 740.92194 9 0.19092347 500.38434 88.66577 973.72675 585.2565 9 0.11531802 314.5497 145.12149 721.0692 720.0702 9 0.079310015 288.53842 530.1677 443.5659 679.51416 ,test/0007.jpg
0 0.78493655 105.123146 906.4655 171.05722 972.3614 0 0.2494766 224.80219 492.20883 281.73532 542.9618 1 0.97641015 646.2126 637.56616 719.5715 760.3185 1 0.5968175 360.29453 496.48172 461.74722 602.7657 1 0.37968853 104.98511 906.4252 171.0068 972.40356 1 0.12861857 147.78024 536.70013 253.65143 668.5784 1 0.114732035 151.58145 564.50226 201.02725 662.80414 1 0.059727926 224.67972 492.21683 281.69742 542.8435 5 0.43932968 1.1195602 385.06467 188.73093 559.9697 5 0.25813484 1.7485504 361.82178 272.53992 626.2484 5 0.12352777 358.96948 496.4803 452.01404 590.34076 6 0.99475276 776.31244 275.5034 973.4913 616.25476 6 0.077552244 359.33002 497.3637 479.52667 605.09064 7 0.99926597 161.182 507.71326 468.03607 963.42786 7 0.9991597 385.55035 470.44092 703.064 884.81177 7 0.9958929 683.03217 532.60516 789.6418 693.42267 7 0.988996 544.43555 423.03937 711.8806 642.31696 7 0.9800475 2.9362411 612.10767 172.00394 875.4326 7 0.8904568 2.161728 361.26837 270.38257 638.9179 7 0.8360855 345.78583 121.49039 417.82562 222.51889 7 0.2421644 524.2356 424.72058 812.8364 684.6033 7 0.22243613 0.14411163 508.8994 42.192234 699.99744 7 0.21488018 222.79181 490.87714 286.87692 543.93317 7 0.2017315 224.72397 490.26865 329.5579 554.1315 7 0.15887989 358.9643 497.33542 465.9118 604.394 7 0.1454026 118.997955 357.01486 266.22354 597.5354 7 0.10876768 146.89342 648.06854 181.32808 727.91876 7 0.098417856 1.1155548 391.9415 206.63945 875.49365 7 0.09290669 144.9084 521.1993 241.58574 675.20514 7 0.07575279 628.6817 495.0041 804.8293 706.284 7 0.05819324 141.79816 498.76535 325.31253 718.62463 7 0.056560826 467.02863 467.28778 714.89484 722.5463 7 0.051435098 146.23273 493.72653 314.82013 603.01263 ,test/0008.jpg
0 0.99773526 279.2339 104.51315 661.835 982.5166 1 0.05195488 296.7669 117.05075 660.46063 825.3386 ,test/0009.jpg
