PredictionString,image_id
0 0.07396844 478.26752 577.6529 565.23285 664.1031 1 0.98744863 564.30493 108.85396 749.7068 356.08618 1 0.54385424 640.47003 252.70926 737.3288 344.54184 1 0.52149135 636.4164 157.64001 741.2029 336.04297 1 0.34180936 668.8224 257.3449 731.05054 319.75458 1 0.3065678 579.0841 170.85736 686.12463 356.0772 1 0.23622298 388.747 681.42444 423.99493 719.673 1 0.21140507 190.81366 416.6872 224.9226 438.55365 1 0.18668577 150.7794 426.79904 204.95552 448.9515 1 0.17911713 437.99146 444.03085 566.9036 711.6327 1 0.14843132 614.3193 189.04074 690.9417 233.84134 1 0.13708079 244.37083 683.0718 302.55344 748.75134 1 0.1154802 165.9048 417.35284 216.39418 435.1955 1 0.10965947 646.57745 186.36876 714.434 271.62473 1 0.091622666 157.9481 417.9997 219.58806 448.60577 1 0.090641126 131.76878 281.79092 235.77309 312.81754 1 0.078536965 169.39563 428.3068 220.36176 446.91153 1 0.06927838 677.8945 105.35399 755.09235 328.37006 1 0.06751441 637.6991 286.74146 686.19836 349.96448 1 0.063532226 473.67685 577.9745 569.43024 661.37256 1 0.054324154 555.1213 138.79012 624.3139 358.3111 5 0.89914006 338.4472 626.54553 400.05664 721.50244 5 0.8651669 244.90399 683.34143 302.77777 748.43164 5 0.57105404 346.2788 679.8029 439.48297 724.6983 5 0.5483999 388.69006 681.34204 424.22455 719.97766 5 0.53096884 477.36307 585.00037 574.6617 660.10254 5 0.45032778 665.3172 257.02325 731.4792 321.02563 5 0.44831592 333.07852 636.86993 448.6937 734.27203 5 0.3713926 405.4048 643.5937 442.84497 687.68854 5 0.18764691 416.45184 605.32104 443.7248 690.87146 5 0.1846594 394.98453 635.09717 417.67496 686.3584 5 0.16296917 437.99146 444.03085 566.9036 711.6327 5 0.16256979 383.43268 642.3147 442.9449 722.1394 5 0.14851253 394.42004 603.885 445.55188 703.23096 5 0.13395344 329.09186 639.4254 350.88348 684.2041 5 0.12270536 410.8836 613.1182 461.56763 719.4704 5 0.10616666 413.81512 551.9949 447.84528 702.9486 5 0.09583895 350.0076 685.91614 398.41116 724.8519 5 0.09047567 640.47003 252.70926 737.3288 344.54184 5 0.087183535 329.06097 542.9042 460.20465 735.47754 5 0.084269196 427.3863 545.1741 477.69098 661.9878 5 0.07753629 383.29767 573.2387 459.04797 735.06 5 0.05149914 338.3419 684.627 369.34 720.9544 6 0.41805273 430.35367 463.69797 562.61255 610.4342 6 0.05994339 432.2312 443.2961 568.98834 730.5773 7 0.999838 603.8106 509.55704 952.91095 1021.484 7 0.99978334 116.80669 416.68137 326.03357 720.47266 7 0.99940956 219.64572 50.334824 455.64597 472.69385 7 0.99654156 449.88165 595.9629 642.4755 874.4773 7 0.9947601 391.96625 184.4981 605.4281 547.5096 7 0.9877286 262.24982 433.67258 435.08362 582.1149 7 0.98526275 647.5729 328.32574 875.4142 597.81396 7 0.9570993 543.0959 339.67755 709.7784 608.4658 7 0.56377923 324.00156 554.1726 449.88547 660.69446 7 0.4073758 333.55252 529.5018 461.58774 744.7121 7 0.2101649 285.98544 434.8512 457.58615 731.2025 7 0.14121379 610.4127 604.81305 647.9197 746.6186 7 0.13530564 474.45062 577.64374 575.1888 674.86163 7 0.12987474 249.61566 404.59467 338.08282 584.1297 7 0.082945056 422.5019 471.20166 623.81464 775.22095 7 0.07889948 402.4223 256.22354 632.8453 903.66504 7 0.075106815 476.07318 592.99854 615.12787 697.9617 7 0.06727175 659.46094 339.66718 760.4724 585.7513 7 0.061357483 384.8352 120.276794 740.96545 602.46515 7 0.05957397 217.26042 692.405 252.10402 733.73816 7 0.057983752 326.60797 560.53906 415.56647 624.3147 7 0.053221397 550.8318 124.15137 889.87354 605.20135 7 0.051922053 260.21112 432.19165 689.9474 757.8845 ,test/0000.jpg
0 0.47446412 639.9054 635.92053 685.89734 841.6588 0 0.3457522 137.82623 0.43984985 488.0103 278.14517 3 0.08477328 136.00893 1.5365448 488.50134 279.83624 4 0.09392431 134.36305 1.3873291 489.00708 281.26642 5 0.9977119 346.42023 244.51155 750.1346 706.164 5 0.62797153 134.89828 1.3250275 488.38852 278.8678 5 0.35372517 130.17557 0.0 748.1721 712.6886 5 0.11829475 639.8618 636.637 685.4757 843.4843 6 0.9040977 763.9228 659.86 896.06024 991.5842 6 0.070995055 631.0316 658.233 899.8972 988.80206 7 0.31392753 134.90582 1.5293427 489.58466 287.15002 ,test/0001.jpg
0 0.9472755 878.22864 465.11905 1023.14685 633.4254 0 0.6786017 782.3493 426.3956 1024.0 1019.52295 0 0.4642676 672.1443 228.5509 767.83435 328.18463 0 0.4497861 302.03287 335.60403 1014.1891 372.0654 0 0.32268324 656.9842 285.19604 756.4521 324.39337 0 0.30374607 52.207703 273.48962 435.53708 395.1978 0 0.20173045 86.29141 273.84088 410.33765 578.2836 0 0.18910152 657.00006 345.60895 1008.4753 366.66125 0 0.16457143 546.80963 583.3326 754.2321 656.1674 0 0.15382633 303.0345 328.9632 1014.65485 458.94354 0 0.13644291 817.32227 454.9124 1020.7892 690.9672 0 0.10438428 287.1194 311.35397 1018.3861 391.83524 0 0.097308084 325.10583 456.33417 830.72437 678.30804 0 0.09244489 0.8497009 240.64673 139.69974 417.35474 0 0.08998849 337.15826 319.99374 668.93536 372.9786 0 0.086169496 591.78375 321.21805 1006.4837 369.49362 0 0.07891391 77.136246 313.63455 348.2342 503.3207 0 0.07188859 264.0486 275.70612 308.12564 434.82574 0 0.0715633 289.21512 343.51703 1022.1874 572.71436 0 0.071055725 314.98996 325.87158 771.6488 395.35223 0 0.06976832 332.4159 343.93085 733.0928 367.53113 0 0.06520975 597.77747 211.96674 1019.32556 631.6855 0 0.05919468 269.247 263.34668 346.6455 594.4741 1 0.9727427 424.31555 268.13278 637.1228 329.0262 1 0.9599444 92.73471 268.144 377.62125 603.27014 1 0.9382464 666.81976 226.68225 1023.418 330.7857 1 0.92585427 292.01282 330.51782 929.66943 739.89636 1 0.8533396 778.959 423.6144 1024.0 1024.0 1 0.7216551 872.52124 229.76263 1021.8777 371.7426 1 0.5764955 752.76166 229.84464 912.44147 326.87918 1 0.4001695 673.18054 228.98956 766.8533 328.4109 1 0.31508863 1.9425812 230.91817 148.42348 498.0249 1 0.23244011 676.7926 226.46535 848.9917 325.64746 1 0.1564698 326.06512 483.42242 817.28265 739.87213 1 0.15236077 52.207703 273.48962 435.53708 395.1978 1 0.13078718 969.5077 233.88463 1023.9358 249.86946 1 0.11862726 656.9842 285.19604 756.4521 324.39337 1 0.110789694 952.50214 229.0936 1023.6551 380.36356 1 0.1098472 236.54141 283.7299 1024.0 369.6003 1 0.102852196 644.902 208.55351 1020.7744 624.7829 1 0.08103899 1001.1115 303.36835 1024.0 395.45782 1 0.07341102 686.94073 310.5125 1015.75385 369.29517 1 0.06958371 129.97198 283.6093 1024.0 526.5467 1 0.068784595 927.7012 316.9376 1004.20374 366.63058 1 0.06253319 282.86542 271.24097 409.55182 695.3388 1 0.059295144 547.65985 587.1005 761.25775 654.2142 2 0.19985099 1.7055359 229.89085 154.26505 497.88593 3 0.14608215 1002.44727 303.26843 1024.0 394.33722 3 0.07883256 1.6962433 233.28441 146.4955 487.13867 3 0.071506895 1003.0058 306.0283 1024.0 333.8826 4 0.9487187 871.11475 255.72418 910.678 324.72827 4 0.066015705 1001.0891 303.15884 1024.0 395.10654 4 0.05619093 1.6962433 233.28441 146.4955 487.13867 5 0.14085 2.0146484 231.185 148.5563 494.72113 6 0.2375974 291.7264 331.16626 1017.36633 505.18878 6 0.07909229 294.3039 320.82782 1017.633 406.14215 ,test/0002.jpg
0 0.14801002 148.21527 260.35263 999.02374 981.0305 0 0.12957443 4.2884064 48.110107 290.21844 1024.0 0 0.050804287 229.4114 763.4975 1009.7123 1017.8327 9 0.96779877 160.96371 282.65393 921.6388 844.131 9 0.55003095 232.3916 766.9117 1014.9188 1024.0 9 0.16348994 6.2230835 231.03186 295.54913 1024.0 9 0.12716915 24.12204 0.0 1003.5233 381.80127 9 0.09977515 5.200306 411.51297 118.76102 860.7473 ,test/0003.jpg
0 0.7207059 453.27698 413.8905 653.05347 552.50726 0 0.26410392 400.85724 261.5866 643.7691 566.91003 0 0.23186094 203.33734 338.97504 879.4704 772.9471 0 0.14226086 425.773 384.88535 877.94904 664.99695 0 0.06378861 179.97186 261.1009 665.37 680.4804 0 0.05450195 293.51685 411.43372 642.46686 772.06824 1 0.9775081 201.57193 303.0434 876.693 772.4942 1 0.28268045 415.43967 272.4079 648.1768 568.10144 1 0.17407961 422.63995 321.3073 878.3162 647.4603 1 0.12453797 192.15935 414.50186 498.93903 636.7218 1 0.08716106 178.64746 264.45255 688.8598 655.3115 7 0.14348261 454.00848 413.93884 653.1795 552.35095 ,test/0004.jpg
0 0.06366555 426.62872 671.54065 460.8676 709.2837 2 0.99865204 355.1502 229.831 786.88055 716.238 ,test/0005.jpg
0 0.9876572 895.49084 786.92365 1023.71204 915.18243 0 0.95510906 602.8417 0.0 705.05383 86.29289 0 0.8709621 1.4856911 807.23145 86.856964 944.6538 0 0.5310351 299.86795 668.23004 378.00894 749.04095 0 0.18852729 714.50964 896.1495 812.8677 940.8393 0 0.05641928 195.87363 657.08673 308.45798 872.37164 0 0.050738845 304.44873 541.5764 353.78394 680.2471 4 0.99364 434.3302 14.387215 639.3782 269.25897 4 0.14483728 344.46783 454.50763 837.9771 728.8781 5 0.9815227 0.0 58.723747 69.7361 222.61514 5 0.97622436 347.03412 453.3004 833.2872 727.744 5 0.6481208 195.93716 656.2117 308.7133 872.56323 7 0.9720944 272.53748 11.699928 414.76904 168.27728 9 0.05417837 602.819 0.0 705.0646 86.18018 ,test/0006.jpg
0 0.3807966 0.0 866.9704 22.300083 1023.8609 0 0.30622277 297.60803 510.60724 446.39557 667.7099 0 0.27659565 878.42065 893.97986 1021.5598 1021.99805 0 0.26978347 70.35791 91.42175 979.6763 998.3949 0 0.15227452 123.80432 172.56921 478.06476 728.71936 0 0.13134609 781.31085 86.479576 856.0212 190.28436 0 0.11377096 329.94727 88.84848 925.6295 772.4369 0 0.106845446 338.58255 0.0 796.51416 173.91043 0 0.083323985 659.9732 112.08176 994.49786 586.0145 0 0.073627345 735.981 112.88903 772.6921 157.71188 0 0.070740856 731.4196 88.77672 870.6247 199.12321 1 0.7851673 882.129 893.898 1018.5818 1022.6357 1 0.4170548 218.81139 873.16296 579.42426 1023.5182 1 0.1296353 0.0 866.63245 22.685448 1024.0 1 0.09049988 731.4196 88.77672 870.6247 199.12321 1 0.068343505 113.15976 186.73505 486.7272 788.1723 1 0.061726697 434.94254 957.5507 515.51605 1023.9117 1 0.05096587 437.16098 886.80286 585.14636 1023.18115 5 0.16146524 0.0 867.6148 21.7387 1023.2386 7 0.17496575 0.0 866.28546 23.043484 1024.0 9 0.9104325 324.3168 89.22528 943.598 773.3192 9 0.503471 48.70691 60.329285 973.4839 1006.24786 9 0.11428264 296.75592 511.10052 449.61163 668.2349 9 0.105854675 338.58255 0.0 796.51416 173.91043 9 0.05537988 532.54694 449.8676 907.2392 744.0732 9 0.051005084 659.9732 112.08176 994.49786 586.0145 ,test/0007.jpg
0 0.9056339 103.38226 906.3818 169.75995 971.58636 0 0.1093646 794.6545 610.5381 831.0861 655.5255 0 0.070789196 348.2735 126.46707 421.5666 221.5214 1 0.87924016 648.221 640.0396 718.6562 762.1597 1 0.7581179 361.65192 497.60324 460.58868 672.1677 1 0.1764055 103.47592 906.56287 169.44827 971.9037 1 0.14546867 230.38316 491.261 331.6878 555.9806 1 0.10604596 153.69675 568.7294 201.22159 660.73694 1 0.06731071 659.4005 637.8392 716.5427 699.4393 2 0.36556292 228.04404 490.9725 331.7443 555.45105 2 0.32001364 360.83813 497.22507 463.20654 612.1339 5 0.16799098 773.3125 280.25653 977.194 620.221 5 0.10128942 549.7341 425.79813 700.16595 552.1879 5 0.09198506 228.913 491.2952 332.91232 554.4958 5 0.09107304 671.7032 448.69998 814.0147 613.49524 5 0.054449826 601.92786 342.68842 740.182 479.1903 6 0.97446805 775.2157 279.53265 976.7772 621.4191 6 0.14417236 361.8562 498.29678 460.34436 641.4818 7 0.9992612 387.84106 462.11096 699.53503 885.8025 7 0.9982816 2.199791 608.59705 177.75195 881.60925 7 0.9977592 163.3929 521.97296 458.21503 955.68524 7 0.99582833 658.1112 525.3595 793.8843 695.2483 7 0.98123264 4.4622803 362.56982 268.0835 641.5352 7 0.96397537 347.0898 126.473366 421.87582 221.34387 7 0.88039345 553.14716 422.90912 701.7541 581.19806 7 0.23659399 362.49353 496.76892 461.60352 681.1138 7 0.18640111 225.10272 491.11053 332.44775 554.58344 7 0.15770476 2.434372 426.06158 228.65353 871.5656 7 0.15603241 147.73662 662.88776 182.295 728.5644 7 0.14978768 170.50504 497.54196 330.3695 589.9892 7 0.1377405 398.93112 609.6014 450.7017 676.9273 7 0.12944321 529.2949 423.28415 815.7009 637.75146 7 0.0749885 145.63911 497.29437 356.57544 638.88116 7 0.0718412 662.60754 451.07568 815.8563 614.47974 7 0.069528125 0.10559654 530.78235 40.5421 692.58813 7 0.057209868 1.5441904 679.1468 22.46946 854.5512 ,test/0008.jpg
0 0.9987355 272.59375 112.35474 676.2747 986.0454 0 0.18401156 291.10742 629.9431 659.04834 972.50916 ,test/0009.jpg
