PredictionString,image_id
0 0.34340015 480.56406 588.82526 555.2859 649.37933 0 0.18671471 468.45825 582.3446 554.066 626.03906 0 0.096345894 494.47623 597.12134 549.36206 636.6018 1 0.9995042 560.45844 116.56188 749.23615 360.9337 1 0.45225793 387.98853 678.47845 427.93762 719.4361 1 0.1619216 468.45825 582.3446 554.066 626.03906 1 0.12413345 325.75534 639.57996 350.8961 687.40784 1 0.100837894 478.77637 588.3294 560.54114 654.9639 1 0.05255585 481.30615 609.631 504.25757 656.47546 2 0.21103796 326.3879 639.7349 349.99936 687.10455 5 0.9999311 244.83415 680.6548 301.61563 752.43054 5 0.97445405 337.93494 638.8346 400.11578 721.94116 5 0.5903156 324.6416 575.8869 375.38666 617.48663 5 0.28753144 345.01486 563.9671 449.4432 625.30646 5 0.2817242 358.23788 669.78125 477.3179 729.0471 5 0.25960153 381.35342 619.5886 470.1086 730.3302 5 0.21621057 325.58316 641.4346 443.58823 728.84814 5 0.17324233 386.47055 674.494 431.4976 721.75745 5 0.14945517 338.28854 569.2406 381.28867 606.699 5 0.14117451 392.75034 636.30005 466.79373 689.3026 5 0.12539127 483.55542 598.85 580.5801 657.0829 5 0.09096218 327.46887 640.13916 352.94775 686.70776 5 0.086624674 446.4948 626.166 467.31537 677.5831 5 0.058236703 349.86746 688.8539 398.6019 721.6704 5 0.05754199 423.0789 612.2429 474.4125 682.1819 5 0.057015285 320.9131 565.74054 468.0669 649.26984 6 0.68593633 436.28967 442.2837 573.0743 672.0054 6 0.074739754 462.307 596.47284 601.62354 677.89264 7 0.9999906 606.8507 519.1516 949.9646 1020.09924 7 0.99998426 216.59583 51.55568 457.1549 468.0063 7 0.99995875 118.244385 424.62402 327.49078 720.6123 7 0.9998771 390.79462 181.14948 602.5418 543.3714 7 0.99922 645.66174 325.03052 878.1937 622.1457 7 0.99896884 447.52573 598.63196 648.7248 870.6566 7 0.9968815 260.4179 432.21384 435.37897 590.05237 7 0.9939621 555.57526 328.5915 721.2161 601.7619 7 0.90359265 543.1216 173.00406 578.8164 243.64142 7 0.36578664 241.46582 410.17563 338.41052 458.8033 7 0.2856513 485.67422 592.01056 558.7649 661.0253 7 0.13625336 546.5747 416.85098 579.35034 461.33444 7 0.124509126 419.50067 613.21594 462.12408 657.4523 7 0.11581334 355.85065 554.5568 446.24188 644.2044 7 0.09224001 379.4972 620.84106 471.8803 731.24475 7 0.08412136 474.35654 584.43713 553.41 636.5968 7 0.06980857 325.5864 563.4305 457.68826 621.31305 7 0.06859164 438.37802 432.5499 577.45624 679.90344 7 0.061646514 393.26553 638.2186 463.19473 688.55994 ,test/0000.jpg
0 0.078551166 632.8814 655.4384 692.51996 857.9069 3 0.62552077 342.01697 240.78296 754.33167 693.4073 4 0.80892086 341.85706 240.6127 754.76636 693.2908 5 0.9968561 136.86911 0.0 499.48148 287.15253 5 0.35412464 342.3873 241.9367 754.0558 693.7137 6 0.99490166 749.92914 662.6551 904.50323 994.60626 ,test/0001.jpg
0 0.96761864 871.9247 464.42337 1022.588 628.9062 0 0.9506218 780.1417 411.57816 1024.0 1024.0 0 0.61202604 2.3828583 239.32321 148.0934 464.5375 0 0.5551277 92.01384 273.95334 423.93542 584.77014 0 0.51694655 304.876 324.6493 1020.7739 395.68 0 0.42061937 286.29013 289.8612 419.07303 579.8675 0 0.30386168 81.60722 293.69128 208.67223 444.69525 0 0.20024712 116.442 291.1186 236.62718 509.2306 0 0.1997358 264.61728 336.9322 1024.0 371.92596 0 0.16465415 292.45514 321.90616 1020.5932 742.60254 0 0.12524132 336.68814 344.9294 1015.5492 467.52682 0 0.11749769 828.67053 235.21062 1024.0 368.80756 0 0.09814628 355.39667 321.37985 579.3788 347.5549 0 0.09609415 86.48828 311.59744 397.7032 467.79874 0 0.08343997 276.43634 298.5012 1024.0 371.67148 0 0.079367355 122.085335 290.77753 293.95233 590.7247 0 0.06866862 440.47498 322.4788 561.3555 346.304 0 0.06537234 82.74673 290.2382 322.7084 421.54172 0 0.065356456 660.8922 339.52936 1005.917 723.38275 0 0.058825273 749.8287 424.87933 1013.86774 679.34564 0 0.057302173 419.4394 267.66574 639.8294 329.577 0 0.054367762 5.3623276 247.62007 145.759 359.9544 0 0.050109748 181.63441 438.5948 229.61226 574.3354 1 0.9946561 283.5233 310.05652 1024.0 746.92236 1 0.96895885 413.49768 267.43854 641.635 332.35126 1 0.9314712 677.3136 225.29993 818.0128 322.3681 1 0.8167159 94.744736 271.72897 405.07135 592.9397 1 0.6848467 671.04224 227.69131 989.1249 329.36472 1 0.5715551 778.6914 412.1354 1024.0 1024.0 1 0.5475119 758.57263 231.50447 925.3849 326.97482 1 0.21750826 767.4602 237.6207 1024.0 350.68253 1 0.17072357 993.3311 300.40616 1023.41376 382.5955 1 0.09305448 993.06 315.59818 1010.2662 378.3135 1 0.08376705 258.6068 292.02618 415.31506 593.03925 1 0.059504885 306.48096 239.42468 1009.7031 356.0794 3 0.5017369 2.5557327 238.47137 147.2381 469.76984 4 0.8578645 867.46594 241.13211 913.681 324.5648 4 0.07729565 993.3311 300.40616 1023.41376 382.5955 5 0.43510884 1001.1821 305.65216 1024.0 335.3897 5 0.25184917 993.5721 300.09497 1023.2126 384.29852 ,test/0002.jpg
9 0.9776253 21.290802 0.0 994.9575 966.1478 9 0.91391027 171.21951 250.44037 919.17444 820.6956 9 0.16697711 9.582428 100.510864 570.161 1024.0 ,test/0003.jpg
0 0.8797937 455.97626 412.64847 653.67755 541.5526 0 0.073630154 226.1011 254.36465 865.31006 772.8104 1 0.9994368 217.67566 253.41537 864.6987 777.0222 9 0.4850028 456.37732 407.8305 655.82715 543.031 ,test/0004.jpg
2 0.9999912 346.7729 228.65614 779.8642 705.8438 ,test/0005.jpg
0 0.9417903 601.7118 0.0 702.3762 86.19605 0 0.680977 191.28699 644.41656 316.56046 870.02765 0 0.1669251 299.51904 650.612 376.19818 746.0406 0 0.13111457 898.57837 785.84656 1022.6985 915.6897 0 0.062032957 87.72917 725.40765 143.24524 861.94525 0 0.05371429 192.9072 547.901 274.80072 707.6968 1 0.42499545 190.87236 641.9877 317.7317 871.0709 1 0.17871505 188.82793 546.6068 274.11322 701.41174 1 0.1024051 898.4526 785.76447 1022.6988 915.63275 2 0.3781095 192.27478 548.67487 275.48416 707.03876 3 0.1122115 0.0 66.80747 67.1534 221.27002 4 0.99710315 435.34662 26.716118 644.6198 269.69827 5 0.99905235 337.72318 448.7381 847.0654 726.0087 5 0.9470467 60.247192 341.07104 222.63 749.00256 5 0.12025568 190.87236 641.9877 317.7317 871.0709 7 0.9828341 273.57327 4.981575 415.04007 176.5863 ,test/0006.jpg
0 0.4948712 98.11719 81.32761 998.01733 923.4325 1 0.9973888 885.9695 894.20294 1020.1875 1023.43463 1 0.9848791 215.97128 883.35 610.93066 1021.24365 1 0.18891127 157.80008 484.56934 842.754 923.93506 1 0.16630733 995.2797 939.72845 1023.4831 1022.01544 1 0.14460054 98.94443 94.18451 991.8334 917.0592 1 0.11103046 0.6115494 871.14575 22.764877 1024.0 7 0.4647147 0.6115494 871.14575 22.764877 1024.0 9 0.99492973 236.40363 73.492645 979.0572 739.5305 9 0.3949525 285.18527 526.44214 446.6221 676.15076 ,test/0007.jpg
0 0.9470838 361.79208 0.13518906 418.85556 88.53912 0 0.9185119 103.380844 908.29956 167.7387 970.2737 0 0.10465605 395.1451 1.2200089 413.03378 83.85511 0 0.054858614 211.1724 940.7165 315.8143 958.43207 1 0.99893636 641.041 660.83136 720.5508 762.5389 1 0.93640167 359.71838 501.7665 471.8125 624.058 1 0.23907666 103.67261 908.1944 167.61206 970.2492 1 0.07575899 151.93987 551.7678 237.04863 671.5856 2 0.11753672 152.93646 563.74316 224.28336 667.9944 5 0.2139284 3.3114166 359.01935 269.89612 636.7526 5 0.21242149 151.93987 551.7678 237.04863 671.5856 5 0.17338957 777.27216 275.48566 978.02496 616.1054 5 0.050603934 678.52405 459.87668 813.07385 625.89294 6 0.97578126 777.2783 275.48972 978.0311 616.3197 6 0.08172123 677.78467 458.4532 813.0487 625.2049 7 0.9999751 3.4240952 615.4286 179.19211 873.06323 7 0.99995697 163.6114 524.37463 467.5127 961.0759 7 0.9998605 384.34558 452.6457 705.1288 874.9736 7 0.99722266 353.9676 124.71574 419.25195 221.79047 7 0.9849991 3.1132355 359.15912 270.5318 636.5067 7 0.9283077 225.7778 490.69562 336.88406 562.76263 7 0.8938544 521.3618 421.6853 750.9186 667.4315 7 0.7481072 670.7308 488.5279 794.99164 694.16583 7 0.63595814 360.36725 502.3327 473.24506 670.72943 7 0.330052 677.78467 458.4532 813.0487 625.2049 7 0.18510115 136.59645 528.1063 355.88354 664.94653 7 0.105130635 583.68304 456.56482 810.76764 691.3927 7 0.08092196 156.15048 487.25934 274.3361 674.3526 7 0.06551509 381.30865 582.8583 450.34296 698.3218 ,test/0008.jpg
0 0.9999441 291.33667 102.62891 667.69946 976.79395 ,test/0009.jpg
